Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Life Sciences Tools & Services,45719097344
AA,Alcoa,Metals & Mining,8869851136
AAC,Ares Acquisition,Blank Check / SPAC,1252500096
AACG,ATA Creativity Global,Diversified Consumer Services,54909576
AACI,Armada Acquisition I,Blank Check / SPAC,206887904
AADI,Aadi Bioscience,Biotechnology,326406432
AAIC,Arlington Asset Investment,Mortgage Real Estate Investment Trust...,86234768
AAL,American Airlines Group,Airlines,9378071552
AAMC,Altisource Asset Management,Real Estate Management & Development,34459908
AAME,Atlantic American,Insurance,58657540
AAN,The Aaron's Company,Specialty Retail,375214272
AAOI,Applied Optoelectronics,Communications Equipment,62752140
AAON,"AAON, Inc.",Building Products,4216592384
AAP,Advance Auto Parts,Specialty Retail,8946716672
AAPL,Apple,"Technology Hardware, Storage & Periph...",2.35488E+12
AAQC,Accelerate Acquisition,Blank Check / SPAC,503500000
AAT,American Assets Trust,Equity Real Estate Investment Trusts ...,2246827008
AATC,Autoscope Technologies,Scientific & Technical Instruments,26984472
AAU,Almaden Minerals,Metals & Mining,33815760
AAWW,Atlas Air Worldwide Holdings,Air Freight & Logistics,2858260224
AB,AllianceBernstein Holding,Capital Markets,4051180288
ABB,ABB Ltd,Electrical Equipment,58257555456
ABBV,AbbVie,Biotechnology,2.85044E+11
ABC,AmerisourceBergen,Health Care Providers & Services,33989910000
ABCB,Ameris Bancorp,Banks,3667317760
ABCL,AbCellera Biologics,Biotechnology,3682106880
ABCM,Abcam,Biotechnology,4199929856
ABEO,Abeona Therapeutics,Biotechnology,64065736
ABEV,Ambev,Beverages,46993174528
ABG,Asbury Automotive Group,Specialty Retail,4152612096
ABGI,ABG Acquisition I,Blank Check / SPAC,193905968
ABIO,ARCA biopharma,Biotechnology,30117108
ABM,ABM Industries,Commercial Services & Supplies,3121027840
ABMD,Abiomed,Health Care Equipment & Supplies,17009754112
ABNB,Airbnb,"Hotels, Restaurants & Leisure",64672702464
ABOS,Acumen Pharmaceuticals,Biotechnology,232455696
ABR,Arbor Realty Trust,Mortgage Real Estate Investment Trust...,2502529000
ABSI,Absci,Biotechnology,230987232
ABST,Absolute Software,Software-Application,507345120
ABT,Abbott Laboratories,Health Care Equipment & Supplies,1.87573E+11
ABUS,Arbutus Biopharma,Biotechnology,376303136
ABVC,ABVC BioPharma,Biotechnology,24105480
AC,Associated Capital Group,Capital Markets,849285000
ACA,Arcosa,Construction & Engineering,2954459904
ACAB,Atlantic Coastal Acquisition II,Blank Check / SPAC,379124992
ACAC,Acri Capital Acquisition,Blank Check / SPAC,109752616
ACAD,ACADIA Pharmaceuticals,Biotechnology,2522885120
ACAH,Atlantic Coastal Acquisition,Blank Check / SPAC,429093728
ACAQ,Athena Consumer Acquisition,Blank Check / SPAC,329127488
ACAX,Alset Capital Acquisition,Blank Check / SPAC,111874696
ACB,Aurora Cannabis,Pharmaceuticals,412762688
ACBA,Ace Global Business Acquisition,Blank Check / SPAC,64111860
ACCD,Accolade,Health Care Technology,635220416
ACCO,ACCO Brands,Commercial Services & Supplies,525033216
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1272350848
ACDI,Ascendant Digital Acquisition III,Blank Check / SPAC,384375008
ACEL,Accel Entertainment,"Hotels, Restaurants & Leisure",747843776
ACER,Acer Therapeutics,Pharmaceuticals,20794472
ACET,Adicet Bio,Health Care Providers & Services,779036672
ACGL,Arch Capital Group,Insurance,22159091712
ACHC,Acadia Healthcare Company,Health Care Providers & Services,8102385152
ACHL,Achilles Therapeutics,Biotechnology,82696376
ACHR,Archer Aviation,Aerospace & Defense,610670464
ACHV,Achieve Life Sciences,Biotechnology,50111600
ACI,Albertsons Companies,Grocery Stores,11209632768
ACII,Atlas Crest Investment II,Shell Companies,435131264
ACIU,AC Immune,Biotechnology,205197216
ACIW,ACI Worldwide,Software,2348616448
ACKIT,Ackrell SPAC Partners I Co.,Capital Markets,158556027
ACLS,Axcelis Technologies,Semiconductors & Semiconductor Equipment,2623289344
ACLX,Arcellx,Biotechnology,907515264
ACM,AECOM,Construction & Engineering,11437260000
ACMR,ACM Research,Semiconductors & Semiconductor Equipment,538710336
ACN,Accenture,IT Services,1.89763E+11
ACNB,ACNB Corporation,Banks,328077440
ACNT,Ascent Industries Co.,Steel,108816120
ACON,Aclarion,Health Information Services,6025699
ACOR,Acorda Therapeutics,Biotechnology,15546987
ACQR,Independence Holdings,Shell Companies,621745664
ACR,ACRES Commercial Realty,Mortgage Real Estate Investment Trust...,86359496
ACRE,Ares Commercial Real Estate,Mortgage Real Estate Investment Trust...,678354816
ACRO,Acropolis Infrastructure Acquisition,Blank Check / SPAC,426075008
ACRS,Aclaris Therapeutics,Pharmaceuticals,1038924224
ACRV,Acrivon Therapeutics,Biotechnology,273188448
ACRX,AcelRx Pharmaceuticals,Pharmaceuticals,17803996
ACST,Acasti Pharma,Pharmaceuticals,18683840
ACT,Enact Holdings,Insurance-Specialty,4038506496
ACTG,Acacia Research,Professional Services,179821440
ACU,Acme United,Commercial Services & Supplies,83702408
ACVA,ACV Auctions,Auto & Truck Dealerships,1398620672
ACXP,Acurx Pharmaceuticals,Biotechnology,36980396
ADAG,Adagene,Biotechnology,46897056
ADAL,Anthemis Digital Acquisitions I,Blank Check / SPAC,308591712
ADAP,Adaptimmune Therapeutics,Biotechnology,380083264
ADBE,Adobe,Software,1.60358E+11
ADC,Agree Realty,Equity Real Estate Investment Trusts ...,6220016640
ADCT,ADC Therapeutics,Communications Equipment,284181792
ADD,Color Star Technology Co.,Entertainment,5305033
